hero_name,player_name,team_name,deaths_avg_per_1m,eliminations_avg_per_1m,final_blows_avg_per_1m,healing_avg_per_1m,hero_damage_avg_per_1m,time_played_total,ultimates_earned_avg_per_1m
moira,shu,GZC,0.0,3.032387601555689,1.0107958671852297,1994.563355679381,491.18082890891577,59.35916632413864,0.0
bastion,shu,GZC,1.1415066005083685,0.0,0.0,9.59447480088696,1338.4607776483733,52.56211394071579,0.0
wreckingball,shu,GZC,0.0,0.0,0.0,0.0,0.0,4.870514750480652,0.0
overall,lateyoung,CDH,0.5638994145388917,1.7350751216581282,0.4554572194352587,14.67929033244426,894.7858544327089,11065.803295969963,0.43376878041453204
roadhog,lateyoung,CDH,1.0141186404535478,0.7968075032135019,0.5070593202267739,195.6805170540675,422.79725976859424,828.3054531216621,0.289748182986728
dva,lateyoung,CDH,0.4600249081484504,1.9639524924799228,0.5131047052425023,0.10465566592882794,620.5486152640223,3391.120724916458,0.3892518453563811
sombra,lateyoung,CDH,0.0,7.005725886121327,0.0,0.0,619.5926824222032,85.6442301273346,0.0
zarya,lateyoung,CDH,0.5679857589000248,1.668458166768823,0.4259893191750186,0.0,1093.6534981816208,6760.732887804508,0.47923798407189594
overall,JJANU,VAN,0.25210612826526013,2.2899639984094464,0.6242627937996917,0.006092606898404429,706.362385848425,19991.580667555332,0.22809602081142585
roadhog,JJANU,VAN,0.0,0.0,0.0,0.0,0.0,3.892065107822418,0.0
dva,JJANU,VAN,0.2407323487585803,2.3147341226786566,0.626521369205023,0.006265257017965612,707.2809252799295,19440.67768263817,0.22530078794072256
wreckingball,JJANU,VAN,0.5407117886430742,1.6221353659292226,0.7209490515240989,0.0,613.3034134328725,332.8945360183716,0.36047452576204947
zarya,JJANU,VAN,0.8406643004755964,1.1208857339674618,0.28022143349186546,0.0,780.4856385037721,214.11638379096985,0.28022143349186546
overall,dafran,ATL,0.5458383209329004,2.1833532837316016,0.8067169302023014,3.0648309387566175,1094.233618512904,14949.481718420982,0.5057031502760695
winston,dafran,ATL,0.0,0.0,0.0,0.0,0.0,0.9708819389343262,0.0
hanzo,dafran,ATL,0.5011282493772433,2.0045129975089733,1.0022564987544866,0.0,837.1813528048914,239.45965957641602,0.5011282493772433
symmetra,dafran,ATL,0.0,0.0,0.0,0.0,0.0,13.631731927394867,0.0
widowmaker,dafran,ATL,0.0,0.0,0.0,0.0,0.0,12.661571502685547,0.0
zarya,dafran,ATL,0.5103169976414664,2.2344948149155472,0.7828163653140942,0.0,1122.9053117558358,12110.119844257832,0.5103169976414664
orisa,dafran,ATL,0.0,0.0,0.0,0.0,0.0,2.915271520614624,0.0
torbjorn,dafran,ATL,0.628947333472859,2.7673682672805797,1.1321052002511462,0.0,1478.1926341058913,476.98747420310974,0.3773684000837154
sombra,dafran,ATL,0.423597073964822,1.9061868328416989,0.847194147929644,0.0,581.1019152639441,283.2880758047104,0.423597073964822
soldier76,dafran,ATL,0.0,0.0,0.0,0.0,0.0,4.865800142288208,0.0
bastion,dafran,ATL,1.0431267962380926,1.3560648351095204,1.0431267962380926,79.65600309743428,1362.5849403461982,575.19373691082,0.4172507184952371
tracer,dafran,ATL,0.6536156163517853,2.0614030977248614,0.8044499893560435,0.0,738.4215843751157,1193.361940085888,0.6033374920170326
wreckingball,dafran,ATL,1.6654762882946845,0.0,0.0,0.0,682.3806713937191,36.025730550289154,0.0
overall,Marve1,SEO,0.46498074675994777,1.6274326136598172,0.3755613723830347,0.0,725.626776598041,3354.9776219129562,0.500748496510713
orisa,Marve1,SEO,0.0,0.0,0.0,0.0,863.6051171051903,9.726667702198029,0.0
reinhardt,Marve1,SEO,0.45141775200166245,1.6431606172860513,0.37919091168139646,0.0,719.3788293941003,3322.8644495010376,0.5055878822418619
wreckingball,Marve1,SEO,2.680186155811405,0.0,0.0,0.0,1593.069569920222,22.38650470972061,0.0
overall,Happy,GZC,0.3880191804547622,1.7125357814056046,0.5513956774883463,89.42150014835556,1013.1626450315921,20565.993646621704,0.46678999152452594
winston,Happy,GZC,0.0,0.0,0.0,0.0,0.0,2.9214951395988464,0.0
hanzo,Happy,GZC,0.0,3.510220542248337,1.5261828444557985,0.0,1208.8517792910793,393.1376913189888,0.6104731377823194
brigitte,Happy,GZC,0.3210744453342734,2.3545459324513383,0.5618802793349784,819.5340232561455,567.1552193363109,2242.470587313175,0.4816116680014101
roadhog,Happy,GZC,0.0,0.0,0.0,0.0,0.0,16.538371205329895,0.0
widowmaker,Happy,GZC,0.5361869734427644,1.2942444186549487,0.8320142691353241,0.0,666.632057878851,3245.136652290821,0.3512949136349146
zarya,Happy,GZC,0.3822051214223468,1.6392352985447318,0.4374125278500191,0.0,1177.2245641833915,14128.539094150066,0.49261993427769146
mccree,Happy,GZC,0.0,0.0,0.0,0.0,0.0,13.623929798603058,0.0
sombra,Happy,GZC,0.0,2.4943598690924556,1.4253484966242602,0.0,633.2867404936741,168.37987381219864,0.35633712415606505
soldier76,Happy,GZC,0.0,6.014509355450137,1.5036273388625343,31.602774990965944,613.5411704682782,39.90350431203842,0.0
tracer,Happy,GZC,0.4600686015601338,1.6102401054604683,1.1501715039003344,0.0,531.5374809657305,260.8306665420532,0.4600686015601338
wreckingball,Happy,GZC,0.0,2.2013590158598504,0.0,0.0,441.9331566297226,54.511780738830566,0.0
overall,Luffy,SHD,0.4911685881484235,1.662416759886972,0.3940143619212628,910.8107119317642,754.2908810615489,22232.692121386528,0.4533863890600833
ana,Luffy,SHD,0.19887758301448938,1.1932654980869362,0.19887758301448938,482.90038778110414,452.89981711043015,301.6931274533272,0.39775516602897876
mei,Luffy,SHD,1.5802345274136462,0.0,0.0,111.04187006686294,269.62751623995337,37.96904760599136,0.0
zenyatta,Luffy,SHD,0.4911567235565845,1.6737743093269082,0.39786438500393717,918.5150387389112,759.8890395051754,21866.74738407135,0.4554861235217488
moira,Luffy,SHD,2.465115194959861,0.0,0.0,613.5645580408433,276.9556748745001,24.339633345603943,0.0
bastion,Luffy,SHD,0.0,0.0,0.0,0.0,0.0,1.9429289102554321,0.0
overall,RoKy,TOR,0.40238853380477735,1.382013000031884,0.2035894367464647,612.2810620062093,439.9819695721029,25050.415588855743,0.3137672495739633
hanzo,RoKy,TOR,0.0,0.0,0.0,0.0,0.0,6.799599468708038,0.0
lucio,RoKy,TOR,0.40194912277306216,1.4056039020609508,0.20706469961036536,609.3474524745216,447.35358757714135,24629.98284882307,0.3142511323498486
ana,RoKy,TOR,0.0,0.0,0.0,0.0,0.0,5.836269736289978,0.0
mercy,RoKy,TOR,0.44139622659356714,0.0,0.0,808.4362107803189,8.386528305277775,407.79687082767487,0.2942641510623781
overall,Smurf,SFS,0.49819670550871037,1.531493576193443,0.5904553546769901,0.0,793.9018609376702,3251.727645099163,0.4797449756750544
orisa,Smurf,SFS,0.4266157638137783,1.7064630552551132,0.21330788190688915,0.0,340.97264760075234,281.2835581302643,0.21330788190688915
reinhardt,Smurf,SFS,0.4020719574273576,1.6976371535821764,0.714794590981969,0.0,921.7733812204773,1343.0431792736053,0.5807706051728498
wreckingball,Smurf,SFS,0.5676308284718559,1.2487878226380829,0.3973415799302991,0.0,734.2773275368313,1057.025041460991,0.4541046627774847
winston,Smurf,SFS,0.6311627495335103,1.5779068738337756,0.8415503327113469,0.0,826.6683112134891,570.3758662343025,0.42077516635567347
overall,Jecse,SEO,0.41706242439859287,1.354496314101852,0.21044434258644593,544.7068033704379,380.41885946186795,15681.105794727802,0.30610086194392133
lucio,Jecse,SEO,0.4147157612932106,1.4535582128494708,0.22583531555570874,522.467931134616,407.34605566767,14612.417866885662,0.2997450551921225
ana,Jecse,SEO,0.0,0.0,0.0,1144.2065882483544,392.8873170769814,18.472471296787262,0.0
mercy,Jecse,SEO,0.4570490721770019,0.0,0.0,843.587808666295,5.541720000146148,1050.215456545353,0.3999179381548767
overall,blase,BOS,0.591398823685415,1.546521806538855,0.3276293952811219,857.998724876325,481.1927915552758,21609.782583534718,0.4747849711277275
ana,blase,BOS,0.5604770112426514,0.4203577584319885,0.14011925281066284,1173.5679565841394,386.8808643507256,428.20667964220047,0.5604770112426514
mei,blase,BOS,0.0,0.0,0.0,0.0,0.0,5.8466920256614685,0.0
brigitte,blase,BOS,0.5836429732933347,1.5731696386739125,0.3288546702312698,887.8017373809136,483.8543028742498,20252.107094347477,0.4858753686299842
roadhog,blase,BOS,1.0768530929391116,0.0,0.0,263.74106260487065,470.0286056320558,222.87162619829178,0.2692132732347779
sombra,blase,BOS,0.7613254264368096,0.7613254264368096,0.0,0.0,147.69713272874105,78.80992531776428,0.0
bastion,blase,BOS,0.0,0.0,0.0,0.0,77.42103458105332,10.688724637031555,0.0
tracer,blase,BOS,1.3599107488609865,1.8132143318146485,0.45330358295366213,0.0,510.33780372504316,132.3616275191307,0.0
wreckingball,blase,BOS,0.5011587062344877,2.2552141780551946,0.6264483827931095,0.0,519.8785750087692,478.89021384716034,0.25057935311724383
